iter	Passed	Remaining
0	24	7229
1	38	5764
2	52	5226
3	67	4963
4	81	4809
5	96	4709
6	110	4635
7	124	4556
8	138	4493
9	153	4439
10	167	4396
11	181	4360
12	196	4338
13	210	4309
14	225	4285
15	239	4254
16	254	4232
17	268	4209
18	283	4185
19	297	4161
20	311	4136
21	325	4111
22	340	4095
23	355	4087
24	369	4067
25	384	4047
26	398	4028
27	412	4009
28	427	3991
29	441	3976
30	455	3955
31	470	3943
32	485	3925
33	499	3908
34	513	3890
35	528	3872
36	542	3854
37	556	3835
38	570	3819
39	584	3801
40	599	3785
41	613	3766
42	627	3748
43	641	3732
44	655	3716
45	670	3700
46	684	3686
47	700	3675
48	714	3662
49	729	3646
50	744	3634
51	758	3619
52	773	3605
53	789	3594
54	805	3586
55	821	3577
56	836	3565
57	851	3552
58	866	3539
59	881	3525
60	895	3509
61	910	3495
62	925	3480
63	939	3465
64	954	3451
65	970	3440
66	984	3424
67	999	3408
68	1014	3394
69	1038	3413
70	1054	3399
71	1069	3386
72	1083	3369
73	1098	3354
74	1112	3338
75	1127	3322
76	1141	3305
77	1155	3289
78	1169	3272
79	1184	3256
80	1198	3239
81	1212	3223
82	1226	3206
83	1241	3191
84	1256	3178
85	1270	3162
86	1284	3145
87	1298	3128
88	1312	3112
89	1327	3097
90	1341	3081
91	1356	3066
92	1371	3051
93	1385	3037
94	1399	3020
95	1413	3004
96	1427	2988
97	1441	2970
98	1455	2955
99	1470	2940
100	1484	2924
101	1498	2909
102	1513	2893
103	1527	2878
104	1541	2863
105	1555	2847
106	1570	2833
107	1584	2817
108	1601	2805
109	1615	2791
110	1630	2775
111	1644	2759
112	1658	2744
113	1673	2729
114	1687	2713
115	1702	2699
116	1716	2685
117	1731	2669
118	1745	2654
119	1759	2639
120	1774	2624
121	1788	2609
122	1802	2594
123	1816	2578
124	1831	2563
125	1845	2548
126	1860	2533
127	1874	2518
128	1890	2506
129	1905	2491
130	1919	2475
131	1933	2460
132	1947	2445
133	1961	2429
134	1975	2414
135	1990	2400
136	2004	2384
137	2018	2368
138	2032	2353
139	2046	2339
140	2060	2323
141	2075	2308
142	2089	2293
143	2103	2278
144	2118	2264
145	2132	2249
146	2146	2234
147	2160	2218
148	2174	2203
149	2187	2187
150	2201	2172
151	2215	2157
152	2230	2143
153	2244	2128
154	2258	2113
155	2272	2098
156	2287	2083
157	2301	2068
158	2315	2052
159	2328	2037
160	2342	2022
161	2356	2007
162	2371	1992
163	2385	1978
164	2399	1963
165	2413	1948
166	2427	1933
167	2441	1918
168	2455	1903
169	2469	1888
170	2483	1873
171	2497	1858
172	2511	1844
173	2526	1829
174	2540	1814
175	2554	1799
176	2568	1784
177	2582	1769
178	2596	1755
179	2610	1740
180	2624	1725
181	2638	1710
182	2653	1696
183	2667	1681
184	2681	1666
185	2695	1651
186	2709	1637
187	2723	1622
188	2737	1607
189	2752	1593
190	2766	1578
191	2782	1564
192	2796	1550
193	2810	1535
194	2824	1520
195	2838	1505
196	2852	1491
197	2866	1476
198	2880	1461
199	2894	1447
200	2908	1432
201	2922	1417
202	2936	1403
203	2950	1388
204	2964	1373
205	2978	1359
206	2992	1344
207	3006	1329
208	3020	1315
209	3034	1300
210	3048	1285
211	3062	1271
212	3075	1256
213	3089	1241
214	3103	1227
215	3117	1212
216	3131	1197
217	3145	1183
218	3159	1168
219	3173	1154
220	3187	1139
221	3201	1124
222	3215	1110
223	3229	1095
224	3243	1081
225	3257	1066
226	3271	1052
227	3285	1037
228	3299	1022
229	3313	1008
230	3327	993
231	3341	979
232	3354	964
233	3368	950
234	3382	935
235	3396	921
236	3410	906
237	3424	892
238	3438	877
239	3453	863
240	3467	848
241	3481	834
242	3495	819
243	3509	805
244	3522	790
245	3536	776
246	3550	761
247	3564	747
248	3579	733
249	3592	718
250	3606	704
251	3621	689
252	3636	675
253	3650	661
254	3664	646
255	3678	632
256	3692	617
257	3706	603
258	3720	589
259	3734	574
260	3748	560
261	3762	545
262	3776	531
263	3790	516
264	3804	502
265	3819	488
266	3833	473
267	3847	459
268	3861	444
269	3875	430
270	3889	416
271	3903	401
272	3917	387
273	3931	373
274	3945	358
275	3959	344
276	3973	329
277	3987	315
278	4001	301
279	4015	286
280	4029	272
281	4043	258
282	4057	243
283	4071	229
284	4086	215
285	4100	200
286	4113	186
287	4127	171
288	4142	157
289	4155	143
290	4169	128
291	4183	114
292	4197	100
293	4211	85
294	4225	71
295	4239	57
296	4253	42
297	4267	28
298	4282	14
299	4295	0
